sentence,aspect_term,category,opinion_term,polarity,implicitness
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .","dim sum ,",quality,good .,neutral,EAEO
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .","dim sum ,",quality,"not outstanding ,",neutral,EAEO
"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .","back patio ,",general,worth it,positive,EAEO
"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .","back patio ,",general,cool and,positive,EAEO
"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",music is,general,well there,positive,EAEO
"overall , excellent restaurant !",restaurant !,general,excellent restaurant,positive,EAEO
the food was good .,food was,quality,good .,positive,EAEO
the place was nice and calm .,place was,general,nice and,positive,EAEO
the place was nice and calm .,place was,general,calm .,positive,EAEO
but the service was a bit slow .,service was,general,slow .,negative,EAEO
the buffet had a nice selection .,buffet had,ambience,nice selection,positive,EAEO
the food was average or above including some surprising tasty dishes .,food was,quality,average or above including,positive,EAEO
the food was average or above including some surprising tasty dishes .,dishes .,quality,surprising tasty,positive,EAEO
the food was average or above including some surprising tasty dishes .,dishes .,quality,tasty dishes,positive,EAEO
service was also very good .,service was,general,good .,positive,EAEO
i would go back .,implicit,general,implicit,positive,IAIO
i got an excellent piece of cheesecake and we had several other nice pastries .,cheesecake and,quality,excellent piece,positive,EAEO
i got an excellent piece of cheesecake and we had several other nice pastries .,pastries .,quality,nice pastries,positive,EAEO
"i would recommend roxy ' s for that , but not for their food .",food .,quality,recommend roxy,negative,EAEO
"i would recommend roxy ' s for that , but not for their food .",implicit,quality,recommend roxy,positive,IAEO
my son and his girlfriend both wanted cheeseburgers and they were huge !,cheeseburgers and,ambience,huge !,neutral,EAEO
"but , they were too big for the bun .",implicit,ambience,too big for,negative,IAEO
"consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",burgers fell,ambience,fell apart in,negative,EAEO
also they were $ 15 each !,implicit,price,implicit,negative,IAIO
i had a huge pastrami sandwich on a roll .,pastrami sandwich on a roll .,ambience,huge pastrami,neutral,EAEO
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !,implicit,price,not really bad for,neutral,IAEO
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !,implicit,quality,implicit,negative,IAIO
"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",food .,quality,forgotten about,negative,EAEO
"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",place is,general,trendi but,positive,EAEO
"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",food was,quality,spicy that,negative,EAEO
"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",spice took,quality,implicit,negative,EAIO
and the tom kha soup was pathetic .,tom kha soup was,quality,pathetic .,negative,EAEO
if you want good authentic thai this place is not the place to go .,thai this,quality,good authentic,negative,EAEO
if you want good authentic thai this place is not the place to go .,thai this,quality,authentic thai,negative,EAEO
"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",food .,quality,impressed with,positive,EAEO
"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .",pesto pizza was,quality,"excellent ,",positive,EAEO
"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .",spicy italian cheese that,quality,nice amount,positive,EAEO
"conveniently located too , being right on bedford ave .",implicit,general,conveniently located,positive,IAEO
"the back garden sitting area is very pleasant , where you can see their personal herb garden .",back garden sitting area is,general,"pleasant ,",positive,EAEO
we had the lobster sandwich and it was fantastic .,lobster sandwich and,quality,fantastic .,positive,EAEO
"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",portion was,ambience,fine for,positive,EAEO
"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",french fries were,quality,best he,positive,EAEO
"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",implicit,ambience,implicit,negative,IAIO
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .,scallops as,quality,delicious and,positive,EAEO
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .,sauce was,quality,wonderful .,positive,EAEO
we waited at the bar and had martinis that were just right .,martinis that,quality,right .,positive,EAEO
love the food .,food .,quality,love the,positive,EAEO
it ' s the only place you can get yummy authentic japanese comfort food .,japanese comfort food .,quality,yummy authentic,positive,EAEO
it ' s the only place you can get yummy authentic japanese comfort food .,japanese comfort food .,quality,authentic japanese,positive,EAEO
and you ca n ' t beat the prices .,implicit,price,implicit,positive,IAIO
i ' ve lived in ny for 5 years and this place has it all .,place has,general,implicit,positive,EAIO
"great food , good size menu , great service and an unpretensious setting .","food ,",quality,great food,positive,EAEO
"great food , good size menu , great service and an unpretensious setting .","menu ,",ambience,good size menu,positive,EAEO
"great food , good size menu , great service and an unpretensious setting .",service and,general,great service,positive,EAEO
"great food , good size menu , great service and an unpretensious setting .",setting .,general,unpretensious setting,positive,EAEO
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i ' ve ever had ) .",dishes offered,quality,"unique ,",positive,EAEO
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i ' ve ever had ) .",dishes offered,quality,tasty and,positive,EAEO
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i ' ve ever had ) .",dishes offered,quality,fresh from,positive,EAEO
